Organization,Title,"Addressee (First Name, Last Name)","Additional Info (Addressee Job Title, Dept, Etc.)","Civic Address 1 (Apt/Suite #, Building #, Street Name)","Civic Address 2 (PO Box #/RR #, or GD (General Delivery) and STN ID)",Municipality,Province or Territory,Postal Code,Phone,Website
The Perth and District Community Foundation,Ms.,Lynn McIntyre,Executive Director,33 Lewis Street,,Perth,ON,K7H 2R4,613-326-0295,www.pdcf.ca
The Temagami Community Foundation,,,,,P.O. Box  338,Temagami,ON,P0H 2H0,705-569-3737,temagamicommunityfoundation.com
The Temiskaming Foundation,Ms.,Claire Hendrikx,Executive Director,,P.O. Box 1094,New Liskeard,ON,P0J 1P0,705-647-1055,www.temiskamingfoundation.org
Thunder Bay Community Foundation,Ms.,Bonnie Moore,Executive Director,312-101 N. Syndicate Ave,,Thunder Bay,ON,P7C 3V4,807-475-7279,www.tbcf.org
Toronto Foundation,Ms.,Sharon Avery,President and CEO,"33 Bloor Street East, Suite 1603",,Toronto,ON,M4W 3H1,416-921-2035,www.torontofoundation.ca
WindsorEssex Community Foundation,Ms.,Lisa Kolody,Executive Director,"3200 Deziel Drive, Suite 511",,Windsor,ON,N8W 5K8,519-255-6572,www.wecf.ca
The Community Foundation of Prince Edward Island,,Jeniene Peake,General Manager,"119 - 121 Queen Street, Suite 105, Queen Square Place",,Charlottetown,PE,C1A 1Z4,902-892-3440 / 1-800-566-7307,www.cfpei.ca
Eastern Townships Community Foundation,Mr.,Claude Forgues,Executive Director,1150 Belvedre Sud,,Sherbrooke,QC,J1H 4C7,819-569-9281,fondationcommunautairedelestrie.com
Eenou-Eeyou Community Foundation,Mr.,Ross Clark,Director of Development,"700 de la Gauchetière St. West, Suite 1600",,Montréal,QC,H3B 5M2,(514) 861-5837 ext 243,www.creefoundation.ca 
Fondation communautaire de l’Abitibi-Temiscamingue,Ms.,Anne-Marie Béland,,"150, avenue du Lac",,Rouyn-Noranda,QC,J9X 4N5,1-819-333-3662,
Fondation communautaire de Lanaudière,Ms.,Isabelle Pierrehumbert,adjointe-administrative,"590, rue Saint-Viateur, suite 103",,Joliette,QC,J6E 3B6,450-759-3377,
Fondation communautaire du Saguenay-Lac-Saint-Jean,Ms.,Christine Aubry,directrice generale,"700, rue Racine Est, bureau 102",,Chicoutimi,QC,G7H 1V2,(581) 447-2501,
Fondation communautaire du Saint-Maurice,Ms.,Lise Beaulieu,Vice-Présidente du CA,90 des Casernes,,Trois-Riviéres,QC,G9A 1X2,819-376-1000,www.fondationcommunautairedustm.ca
Fondation communautaire Gaspésie – Les Îles,Mr.,Ronald Arsenault,Directeur générale,"65, rue des Voltigeurs, bureau 101",,Maria,QC,G0C 1Y0,(418) 759-1484,fondationcgi.com
Fondation Laurentides,Mr.,François Mercier,Director,222 Fairway Road,,Rosemère,QC,J7A 1R6,450-434-0231,
Fondation Québec Philanthrope,,,,"201, Grande Allée Est",,Québec,QC,G1R 2H8,418-521-6664,www.quebecphilanthrope.org
The Foundation of Greater Montreal,Mr.,Yvan Gauthier,President-directeur general,"505 René-Lévesque Blvd. West, Suite 1000",,Montréal,QC,H2Z 1Y7,514-866-0808,www.fgmtl.org
Battlefords and District Community Foundation Inc.,Ms.,Kathy McNinch,,,P.O. Box 1302,North Battleford,SK,S9A 3L8,306-446-3863,www.bdcf.ca
Family & Friends Community Foundation Inc.,Ms.,Carla Kaeding,,,Box 800,Langenburg,SK,S0A 2A0,306-743-5520,www.familyandfriendsfoundation.com
Prince Albert and Area Community Foundation Inc.,Ms.,Marilyn Peterson,Executive Director,,Box 291,Prince Albert,SK,S6V 5R5,306-764-9108,
Saskatoon Community Foundation,Ms.,Carm Michalenko,Executive Director,101 - 308 Fourth Avenue North,,Saskatoon,SK,S7K 2L7,306-665-1766,www.saskatooncommunityfoundation.ca
South Saskatchewan Community Foundation Inc.,Ms.,Christina Attard,Executive Director,3934 Gordon Road,,Regina,SK,S4S 6Y3,306-751-4756,www.sscf.ca
The Yukon Foundation,Ms.,Sophie Partridge,,,P.O. Box 31622,Whitehorse,YT,Y1A 6L2,(867) 393-2454,www.yukonfoundation.com
